tau,freq
11.2,3.3965312085231285e-05
11.3,2.9859615019983546e-05
11.4,3.28455765219819e-05
11.5,2.7993389081234575e-05
11.6,3.32188217097317e-05
11.7,2.9113124644483957e-05
11.8,2.6873653517985192e-05
11.9,2.6500408330235398e-05
12.0,2.575391795473581e-05
12.1,2.6127163142485604e-05
12.2,2.836663426898437e-05
12.3,3.060610539548314e-05
12.4,3.172584095873252e-05
12.5,2.314120164048725e-05
12.6,2.7246898705734986e-05
12.7,2.7246898705734986e-05
12.8,2.762014389348478e-05
12.9,2.388769201598684e-05
13.0,2.2767956452737456e-05
13.1,2.1648220889488073e-05
13.2,2.8739879456734163e-05
13.3,1.97819949507391e-05
13.4,1.8662259387489717e-05
13.5,1.97819949507391e-05
13.6,1.4929807509991773e-05
13.7,1.381007194674239e-05
13.8,1.8662259387489717e-05
13.9,2.1274975701738276e-05
14.0,1.8289014199739922e-05
14.1,1.7915769011990128e-05
14.2,1.4556562322241979e-05
14.3,1.642278826099095e-05
14.4,1.97819949507391e-05
14.5,1.903550457523951e-05
14.6,1.903550457523951e-05
14.7,1.530305269774157e-05
14.8,1.7542523824240334e-05
14.9,2.1274975701738276e-05
15.0,1.6796033448740746e-05
15.1,1.1570600820243625e-05
15.2,1.381007194674239e-05
15.3,1.97819949507391e-05
15.4,1.4929807509991773e-05
15.5,1.7915769011990128e-05
15.6,1.4183317134492184e-05
15.7,1.642278826099095e-05
15.8,1.9408749762989305e-05
15.9,1.4929807509991773e-05
16.0,1.2690336383493008e-05
16.1,1.4556562322241979e-05
16.2,1.0824110444744037e-05
16.3,1.4556562322241979e-05
16.4,1.2317091195743214e-05
16.5,1.6796033448740746e-05
16.6,1.9408749762989305e-05
16.7,1.2690336383493008e-05
16.8,1.5676297885491363e-05
16.9,9.704374881494652e-06
17.0,1.2317091195743214e-05
17.1,1.1197355632493831e-05
17.2,1.4556562322241979e-05
17.3,1.381007194674239e-05
17.4,1.1197355632493831e-05
17.5,1.530305269774157e-05
17.6,1.2690336383493008e-05
17.7,1.2690336383493008e-05
17.8,1.6049543073241157e-05
17.9,1.3436826758992596e-05
18.0,1.1570600820243625e-05
18.1,8.957884505995064e-06
18.2,1.0077620069244447e-05
18.3,7.091658567246092e-06
18.4,7.4649037549958864e-06
18.5,1.0077620069244447e-05
18.6,1.4556562322241979e-05
18.7,7.091658567246092e-06
18.8,1.0077620069244447e-05
18.9,1.0077620069244447e-05
19.0,8.957884505995064e-06
19.1,1.2690336383493008e-05
19.2,7.4649037549958864e-06
19.3,9.704374881494652e-06
19.4,1.0450865256994241e-05
19.5,7.838148942745681e-06
19.6,9.704374881494652e-06
19.7,8.957884505995064e-06
19.8,7.4649037549958864e-06
19.9,7.4649037549958864e-06
20.0,8.211394130495476e-06
20.1,8.211394130495476e-06
20.2,6.718413379496298e-06
20.3,8.957884505995064e-06
20.4,1.0450865256994241e-05
20.5,7.838148942745681e-06
20.6,4.105697065247738e-06
20.7,8.211394130495476e-06
20.8,5.97192300399671e-06
20.9,7.091658567246092e-06
21.0,6.345168191746504e-06
21.1,8.58463931824527e-06
21.2,5.97192300399671e-06
21.3,6.718413379496298e-06
21.4,5.2254326284971204e-06
21.5,4.478942252997532e-06
21.6,7.4649037549958864e-06
21.7,7.4649037549958864e-06
21.8,5.97192300399671e-06
21.9,7.838148942745681e-06
22.0,5.97192300399671e-06
22.1,1.0450865256994241e-05
22.2,8.58463931824527e-06
22.3,7.838148942745681e-06
22.4,5.5986778162469155e-06
22.5,2.985961501998355e-06
22.6,6.345168191746504e-06
22.7,6.718413379496298e-06
22.8,5.97192300399671e-06
22.9,4.852187440747326e-06
23.0,8.211394130495476e-06
23.1,4.852187440747326e-06
23.2,7.4649037549958864e-06
23.3,2.6127163142485602e-06
23.4,5.97192300399671e-06
23.5,4.105697065247738e-06
23.6,5.2254326284971204e-06
23.7,4.105697065247738e-06
23.8,3.7324518774979432e-06
23.9,5.2254326284971204e-06
24.0,4.478942252997532e-06
24.1,3.7324518774979432e-06
24.2,8.58463931824527e-06
24.3,6.718413379496298e-06
24.4,2.6127163142485602e-06
24.5,3.7324518774979432e-06
24.6,2.239471126498766e-06
24.7,5.5986778162469155e-06
24.8,4.478942252997532e-06
24.9,2.6127163142485602e-06
25.0,4.105697065247738e-06
25.1,3.7324518774979432e-06
25.2,7.091658567246092e-06
25.3,8.211394130495476e-06
25.4,6.718413379496298e-06
25.5,5.97192300399671e-06
25.6,2.985961501998355e-06
25.7,2.239471126498766e-06
25.8,4.852187440747326e-06
25.9,3.7324518774979432e-06
26.0,2.985961501998355e-06
26.1,4.105697065247738e-06
26.2,4.852187440747326e-06
26.3,4.105697065247738e-06
26.4,2.985961501998355e-06
26.5,2.239471126498766e-06
26.6,4.105697065247738e-06
26.7,5.2254326284971204e-06
26.8,4.478942252997532e-06
26.9,7.838148942745681e-06
27.0,4.105697065247738e-06
27.1,5.2254326284971204e-06
27.2,2.985961501998355e-06
27.3,4.478942252997532e-06
27.4,3.7324518774979432e-06
27.5,2.985961501998355e-06
27.6,2.6127163142485602e-06
27.7,3.7324518774979432e-06
27.8,4.478942252997532e-06
27.9,4.105697065247738e-06
28.0,2.239471126498766e-06
28.1,3.359206689748149e-06
28.2,3.7324518774979432e-06
28.3,3.359206689748149e-06
28.4,3.359206689748149e-06
28.5,3.359206689748149e-06
28.6,2.6127163142485602e-06
28.7,5.97192300399671e-06
28.8,2.239471126498766e-06
28.9,2.985961501998355e-06
29.0,2.239471126498766e-06
29.1,5.2254326284971204e-06
29.2,2.985961501998355e-06
29.3,3.359206689748149e-06
29.4,4.105697065247738e-06
29.5,2.985961501998355e-06
29.6,2.985961501998355e-06
29.7,4.478942252997532e-06
29.8,3.7324518774979432e-06
29.9,2.985961501998355e-06
30.0,3.359206689748149e-06
30.1,2.985961501998355e-06
30.2,4.852187440747326e-06
30.3,3.7324518774979432e-06
30.4,3.359206689748149e-06
30.5,4.478942252997532e-06
30.6,2.6127163142485602e-06
30.7,2.985961501998355e-06
30.8,3.359206689748149e-06
30.9,2.239471126498766e-06
31.0,4.105697065247738e-06
31.1,1.8662259387489716e-06
31.2,4.105697065247738e-06
31.3,4.478942252997532e-06
31.4,2.239471126498766e-06
31.5,4.105697065247738e-06
31.6,1.8662259387489716e-06
31.7,3.7324518774979432e-06
31.8,1.8662259387489716e-06
31.9,4.852187440747326e-06
32.0,4.105697065247738e-06
32.1,2.6127163142485602e-06
32.2,2.985961501998355e-06
32.3,3.359206689748149e-06
32.4,2.239471126498766e-06
32.5,2.985961501998355e-06
32.6,2.239471126498766e-06
32.7,1.4929807509991774e-06
32.8,1.4929807509991774e-06
32.9,2.239471126498766e-06
33.0,2.239471126498766e-06
33.1,2.239471126498766e-06
33.2,1.4929807509991774e-06
33.3,1.8662259387489716e-06
33.4,2.6127163142485602e-06
33.5,3.7324518774979435e-07
33.6,2.6127163142485602e-06
33.7,1.4929807509991774e-06
33.8,2.239471126498766e-06
33.9,3.7324518774979432e-06
