tau,energy
0.0,5.630763652752696
0.1,5.666426688112432
0.2,5.162879395652932
0.3,5.205836513753872
0.4,4.012772908528289
0.5,3.1570004211501135
0.6,2.507896168012699
0.7,1.975931165310171
0.8,1.4786676812509056
0.9,1.3148353971377458
1.0,1.0319844163126564
1.1,0.9802132998046942
1.2,0.5753641449035618
1.3,0.4862264647526227
1.4,0.385320542015697
1.5,0.2909747985087569
1.6,0.3361039803106619
1.7,0.2135741002980589
1.8,0.08718791507818086
1.9,0.044537854430901476
2.0,0.045368605029851086
2.1,0.03953083875663522
2.2,-0.0498607759802929
2.3,-0.007984074348220755
2.4,-0.05384323202082316
2.5,-0.07577830888707882
2.6,0.022245608947319737
2.7,-0.01626052087178029
2.8,-0.13408311677644888
2.9,-0.19805262932068335
3.0,-0.12389276378675396
3.1,-0.13465688514625726
3.2,-0.18149202543157908
3.3,-0.23067181773500142
3.4,-0.006674107087693243
3.5,-0.0964318849135251
3.6,-0.08801974654164581
3.7,-0.2130665633638531
3.8,-0.1395412161851002
3.9,-0.014423326961105164
4.0,-0.010025146619378818
4.1,0.05613718681998199
4.2,0.05292240145434253
4.3,-0.015190165493975233
4.4,0.02127739844728466
4.5,0.06713930283762852
4.6,-0.04959694113937218
4.7,-0.04393092922572654
4.8,-0.15139964645536827
4.9,-0.10850742141601914
5.0,-0.03955317838602157
5.1,-0.11905936001598821
5.2,-0.14310084364067344
5.3,-0.12070274575971829
5.4,-0.003129893008927593
5.5,-0.030562650410166696
5.6,0.07109592168373026
5.7,-0.08479653666007704
5.8,0.0749858068845626
5.9,0.11732188738904571
6.0,0.06453852113757116
6.1,0.10622221325530742
6.2,0.14107859825990543
6.3,0.1561607307552827
6.4,0.07820074730747475
6.5,0.05153365011518288
6.6,-0.08468308723003892
6.7,-0.16573264410087057
6.8,0.025975486403260736
6.9,-0.13235145148467398
7.0,-0.0993724738132036
7.1,-0.05582844955294184
7.2,0.02506396866321622
7.3,0.06093255099515731
7.4,-0.06267110696277556
7.5,-0.05798725765034928
7.6,0.010810916104215676
7.7,0.11778303565638346
7.8,-0.22073100490882583
7.9,-0.1197079640659679
8.0,-0.13217177310848308
8.1,-0.02770260254933571
8.2,-0.15906469462968753
8.3,-0.20600404143751377
8.4,0.018127384592556483
8.5,-0.23907437338640414
8.6,-0.03484673133016807
8.7,-0.174941449496332
8.8,-0.05971923470162231
8.9,-0.13941953524974512
9.0,-0.10406935989420661
9.1,-0.1046706225638888
9.2,-0.2876820724517809
9.3,-0.22621575035117983
9.4,-0.3011050927839215
9.5,0.0
9.6,-0.033616610798984856
9.7,-0.14903557916048796
9.8,0.14310084364067324
9.9,0.027398974188114347
10.0,0.03226086221822126
10.1,-0.1918910078101054
10.2,0.0
10.3,-0.14541699985850381
10.4,-0.2592196077880194
10.5,-0.17351092711179963
10.6,-0.1880522315029396
10.7,-0.13778370236305298
10.8,-0.2402798335571969
10.9,-0.23875144898020073
11.0,-0.07571182173569636
11.1,-0.2595111954850844
11.2,0.0
11.3,-0.12883287184296857
11.4,-0.14763599880606468
11.5,-0.1823215567939546
11.6,0.057819570888826236
11.7,-0.06213178110700616
11.8,-0.11778303565638351
11.9,-0.35244063979994394
12.0,-0.056352936551131744
12.1,-0.1823215567939546
12.2,0.17185025692665923
12.3,0.2795848622191615
12.4,0.3822082459438971
12.5,0.13815033848081737
12.6,0.16332505610329945
12.7,0.4618180446592962
12.8,0.5663954749208013
12.9,0.18859116980755017
13.0,0.30421137440299156
13.1,0.109199291964992
13.2,0.5371429320833639
13.3,0.0
13.4,0.22314355131420976
13.5,0.12014431184206321
13.6,-0.048790164169432056
13.7,-0.3964152725882465
13.8,0.083381608939051
13.9,0.30538164955118174
14.0,0.2029408439966902
14.1,-0.060624621816434854
14.2,0.08004270767353615
14.3,0.4168938039317871
14.4,0.4737843520856414
14.5,0.5306282510621704
14.6,0.5996211225491219
14.7,0.0
14.8,0.16126814759612232
14.9,0.3794896217049037
15.0,0.1690763300439339
15.1,-0.0317486983145803
15.2,0.27871340246902065
15.3,0.5045560107523952
15.4,0.22314355131420976
15.5,0.43721380642274466
15.6,0.0
15.7,0.28768207245178085
15.8,0.19004360288786487
15.9,-0.16126814759612226
16.0,-0.49899116611898775
16.1,-0.325422400434628
16.2,-0.39390428570708824
16.3,0.0
16.4,-0.5108256237659905
16.5,0.0
16.6,0.1445812288111075
16.7,-0.2578291093020998
16.8,-0.2876820724517809
16.9,-0.45547552868282576
17.0,-0.14107859825990537
17.1,-0.03278982282299073
17.2,-0.025317807984289783
17.3,0.0
17.4,-0.2363887780642304
17.5,0.10265415406008337
17.6,-0.23483959107740093
17.7,-0.028987536873252187
17.8,0.26469255422708216
17.9,0.1823215567939546
18.0,-0.25489224962879004
18.1,-0.5108256237659905
18.2,-0.28768207245178123
18.3,-0.31365755885504165
18.4,-0.5306282510621706
18.5,-0.0714589639821451
18.6,0.5280674302004967
18.7,-0.31365755885504165
18.8,0.20479441264601306
18.9,0.4054651081081642
19.0,0.5389965007326871
19.1,0.6359887667199967
19.2,-0.1823215567939546
19.3,0.2623642644674909
19.4,0.24116205681688788
19.5,-0.2876820724517809
19.6,0.3136575588550416
19.7,-0.28768207245178123
19.8,-0.30010459245033816
19.9,-0.3715635564324831
20.0,0.09531017980432474
20.1,-0.40546510810816444
20.2,-0.5436154465889816
20.3,-0.40546510810816444
20.4,0.0
20.5,-0.13353139262452263
20.6,-0.5978370007556204
20.7,0.14660347419187544
20.8,0.13353139262452277
20.9,0.23638877806423017
21.0,0.125163142954006
