tau,freq
0.0,0.00022251891410769915
0.1,5.562972852692479e-05
0.2,8.344459279038718e-05
0.3,8.344459279038718e-05
0.4,0.00027814864263462394
0.5,0.0006675567423230974
0.6,0.001196039163328883
0.7,0.0020861148197596794
0.8,0.003449043168669337
0.9,0.004033155318202047
1.0,0.005034490431686693
1.1,0.005646417445482866
1.2,0.007760347129506008
1.3,0.008928571428571428
1.4,0.009763017356475301
1.5,0.010541833555852247
1.6,0.01079216733422341
1.7,0.012266355140186916
1.8,0.01312861593235425
1.9,0.014046506453048509
2.0,0.013184245660881175
2.1,0.013796172674677348
2.2,0.014296840231419672
2.3,0.013990876724521584
2.4,0.013796172674677348
2.5,0.014102136181575435
2.6,0.01360146862483311
2.7,0.013796172674677348
2.8,0.01440809968847352
2.9,0.01532599020916778
3.0,0.01312861593235425
3.1,0.014129951045838897
3.2,0.013406764574988874
3.3,0.013907432131731198
3.4,0.01254450378282154
3.5,0.012405429461504228
3.6,0.01254450378282154
3.7,0.013045171339563863
3.8,0.012600133511348465
3.9,0.011654428126390743
4.0,0.01115376056964842
4.1,0.010597463284379173
4.2,0.010235870048954161
4.3,0.011070315976858033
4.4,0.01034712950600801
4.5,0.010013351134846462
4.6,0.01034712950600801
4.7,0.009707387627948375
4.8,0.010096795727636849
4.9,0.010819982198486872
5.0,0.010041165999109924
5.1,0.010903426791277258
5.2,0.010013351134846462
5.3,0.0095404984423676
5.4,0.008900756564307966
5.5,0.008316644414775256
5.6,0.007927236315086782
5.7,0.006842456608811749
5.8,0.006786826880284824
5.9,0.006703382287494437
6.0,0.007092790387182911
6.1,0.006453048509123275
6.2,0.006425233644859813
6.3,0.00592456608811749
6.4,0.0058133066310636404
6.5,0.005785491766800178
6.6,0.0065086782376502
6.7,0.007649087672452159
6.8,0.006341789052069426
6.9,0.006731197151757899
7.0,0.006174899866488652
7.1,0.006147085002225189
7.2,0.005479528259902092
7.3,0.005312639074321317
7.4,0.005952380952380952
7.5,0.00592456608811749
7.6,0.005117935024477081
7.7,0.005117935024477081
7.8,0.005757676902536715
7.9,0.005423898531375167
8.0,0.005841121495327103
8.1,0.0050901201602136185
8.2,0.004728526924788607
8.3,0.00522919448153093
8.4,0.004561637739207832
8.5,0.0048397863818424565
8.6,0.004060970182465509
8.7,0.004506008010680908
8.8,0.0038384512683578105
8.9,0.004060970182465509
9.0,0.004784156653315532
9.1,0.004478193146417445
9.2,0.004561637739207832
9.3,0.00453382287494437
9.4,0.004172229639519359
9.5,0.003755006675567423
9.6,0.0033655985758789496
9.7,0.003615932354250111
9.8,0.0032543391188251
9.9,0.0030040053404539386
10.0,0.003393413440142412
10.1,0.0035046728971962616
10.2,0.0031430796617712507
10.3,0.0036993769470404984
10.4,0.0035324877614597242
10.5,0.0031430796617712507
10.6,0.0029205607476635513
10.7,0.002809301290609702
10.8,0.0028649310191366266
10.9,0.0031430796617712507
11.0,0.0026702269692923898
11.1,0.0029205607476635513
11.2,0.0025311526479750777
11.3,0.0025311526479750777
11.4,0.0028371161548731644
11.5,0.0025033377837116156
11.6,0.002336448598130841
11.7,0.002308633733867379
11.8,0.002253004005340454
11.9,0.002809301290609702
12.0,0.0020304850912327547
12.1,0.002336448598130841
12.2,0.0017801513128615932
12.3,0.0017245215843346685
12.4,0.0016132621272808188
12.5,0.0015020026702269693
12.6,0.0017245215843346685
12.7,0.0012794837561192702
12.8,0.0011682242990654205
12.9,0.001474187805963507
13.0,0.0012516688918558078
13.1,0.0014463729417000446
13.2,0.0012516688918558078
13.3,0.001474187805963507
13.4,0.0011125945705384957
13.5,0.0013072986203827325
13.6,0.0011682242990654205
13.7,0.0015298175344904317
13.8,0.0012794837561192702
13.9,0.0011682242990654205
14.0,0.0011125945705384957
14.1,0.0014185580774365822
14.2,0.0010013351134846463
14.3,0.0008066310636404094
14.4,0.000917890520694259
14.5,0.0008344459279038719
14.6,0.000778816199376947
14.7,0.001140409434801958
14.8,0.0011125945705384957
14.9,0.0010847797062750334
15.0,0.001056964842011571
15.1,0.0008900756564307966
15.2,0.000778816199376947
15.3,0.0008900756564307966
15.4,0.0008900756564307966
15.5,0.0008622607921673342
15.6,0.001056964842011571
15.7,0.000917890520694259
15.8,0.001196039163328883
15.9,0.0013072986203827325
16.0,0.001557632398753894
16.1,0.0015020026702269693
16.2,0.001196039163328883
16.3,0.0010847797062750334
16.4,0.0015298175344904317
16.5,0.0012516688918558078
16.6,0.0012516688918558078
16.7,0.0012238540275923454
16.8,0.001557632398753894
16.9,0.001140409434801958
17.0,0.001056964842011571
17.1,0.0008622607921673342
17.2,0.0011125945705384957
17.3,0.0010291499777481086
17.4,0.001056964842011571
17.5,0.0010291499777481086
17.6,0.001196039163328883
17.7,0.0009735202492211838
17.8,0.000917890520694259
17.9,0.0008344459279038719
18.0,0.0011125945705384957
